VP,Geschlecht,Alter,Spielerfahrung_Jahre,Anticipation_Frames,MainAction_Frames,FollowThrough_Frames,Staerke
1,m,22,15,15,6,12,7
2,w,25,8,20,5,10,8
3,m,31,22,10,8,14,5
4,d,28,12,18,7,16,8
5,w,21,5,12,5,9,6
6,m,35,25,24,6,18,9
7,w,27,14,16,4,12,7
8,m,23,18,8,9,15,5
9,w,30,20,22,5,13,9
10,m,26,16,14,6,11,7
11,w,24,9,17,5,14,7
12,m,29,17,19,7,15,8
13,w,20,4,9,6,10,5
14,m,33,24,23,5,17,9
15,w,26,10,13,7,12,6
16,m,38,28,25,6,20,10
17,d,27,11,18,5,13,8
18,m,22,14,11,8,11,6
19,w,34,21,21,4,18,9
20,m,25,19,15,6,14,7
21,w,23,7,12,7,10,6
22,m,30,20,20,5,16,8
23,w,28,13,16,6,13,7
24,m,24,15,14,7,12,7
25,w,32,22,22,4,17,9
26,m,21,8,10,8,9,5
27,w,29,16,19,5,15,8
28,m,36,27,24,6,19,10
29,d,26,12,17,6,14,8
30,m,23,13,13,7,11,6
31,w,27,15,18,5,13,8
32,m,31,23,21,4,16,9
33,w,22,6,11,8,10,5
34,m,34,26,23,5,18,9
35,w,25,11,15,6,12,7
36,m,39,30,26,5,21,10
37,w,28,18,20,4,15,8
38,m,24,17,12,7,11,6
39,w,33,20,22,5,17,9
40,m,27,16,16,6,13,7
